_id,type,geometry,properties,id
5f16543c4b8c2a9213073a48,Feature,"{'type': 'LineString', 'coordinates': [[-95.61395, 29.57075], [-95.6103, 29.53946]]}","{'TYPEPIPE': 'Intrastate', 'Operator': 'Kinder Morgan Texas Pipeline Co.', 'Shape_Leng': 0.03150789615, 'Shape__Len': 4025.51115382593}",32983
5f16543c4b8c2a92130739a2,Feature,"{'type': 'LineString', 'coordinates': [[-97.74214, 28.66707], [-97.75424, 28.65747]]}","{'TYPEPIPE': 'Intrastate', 'Operator': 'Kinder Morgan Texas Pipeline Co.', 'Shape_Leng': 0.01544257802, 'Shape__Len': 1815.60305209074}",32799
5f16543a4b8c2a92130703ab,Feature,"{'type': 'LineString', 'coordinates': [[-93.6553, 45.29152], [-93.76358, 45.29638]]}","{'TYPEPIPE': 'Interstate', 'Operator': 'Northern Natural Gas Co.', 'Shape_Leng': 0.10839718373, 'Shape__Len': 12079.1129680929}",19004
5f16543b4b8c2a9213071638,Feature,"{'type': 'LineString', 'coordinates': [[-84.37476, 31.79672], [-84.42271, 31.77001]]}","{'TYPEPIPE': 'Interstate', 'Operator': 'South Georgia Gas Pipeline Co.', 'Shape_Leng': 0.05488518243, 'Shape__Len': 6381.34953129838}",23750
5f16543c4b8c2a9213073af8,Feature,"{'type': 'LineString', 'coordinates': [[-96.12984, 31.65626], [-96.13202, 31.66257]]}","{'TYPEPIPE': 'Intrastate', 'Operator': 'Enbridge Pipelines (East Texas)', 'Shape_Leng': 0.00667062044, 'Shape__Len': 859.455639182773}",33160
5f16543c4b8c2a9213073a70,Feature,"{'type': 'LineString', 'coordinates': [[-98.33797, 26.926], [-98.30348, 26.92571]]}","{'TYPEPIPE': 'Intrastate', 'Operator': 'Kinder Morgan Texas Pipeline Co.', 'Shape_Leng': 0.03449425293, 'Shape__Len': 3839.91864918226}",33022
5f16543a4b8c2a92130705b5,Feature,"{'type': 'LineString', 'coordinates': [[-87.8007, 41.74758], [-87.84614, 41.74758]]}","{'TYPEPIPE': 'Intrastate', 'Operator': 'Northern Illinois Gas Co.', 'Shape_Leng': 0.04544, 'Shape__Len': 5058.35766165145}",19524
5f16543a4b8c2a921306f723,Feature,"{'type': 'LineString', 'coordinates': [[-112.2171, 48.80032], [-112.2201, 48.79091]]}","{'TYPEPIPE': 'Intrastate', 'Operator': 'Northwestern Energy Co.', 'Shape_Leng': 0.00987599524, 'Shape__Len': 1624.71201041641}",15794
5f16543b4b8c2a9213071541,Feature,"{'type': 'LineString', 'coordinates': [[-94.71247, 33.03897], [-94.71134, 33.0392]]}","{'TYPEPIPE': 'Interstate', 'Operator': 'Center Point Energy Gas Transmission Co.', 'Shape_Leng': 0.00115218271, 'Shape__Len': 129.290720844286}",23508
5f16543b4b8c2a92130717b0,Feature,"{'type': 'LineString', 'coordinates': [[-104.39834, 33.29946], [-104.39854, 33.29947], [-104.39866, 33.29948], [-104.39892, 33.29951]]}","{'TYPEPIPE': 'Intrastate', 'Operator': 'Public Service Co. of NM', 'Shape_Leng': 0.00057377329, 'Shape__Len': 64.0047328191878}",24124
5f16543b4b8c2a9213071ff1,Feature,"{'type': 'LineString', 'coordinates': [[-91.98797, 29.92742], [-92.00813, 29.90758]]}","{'TYPEPIPE': 'Interstate', 'Operator': 'Tennessee Gas Pipeline', 'Shape_Leng': 0.02828517633, 'Shape__Len': 3395.49874557274}",26245
5f16543a4b8c2a9213071017,Feature,"{'type': 'LineString', 'coordinates': [[-122.05952, 39.632], [-122.04819, 39.63629]]}","{'TYPEPIPE': 'Intrastate', 'Operator': 'California Gas Transmission Co.', 'Shape_Leng': 0.01211241215, 'Shape__Len': 1405.11804876362}",22185
5f16543a4b8c2a921306f418,Feature,"{'type': 'LineString', 'coordinates': [[-109.24961, 48.45472], [-109.24964, 48.45146]]}","{'TYPEPIPE': 'Intrastate', 'Operator': 'Northwestern Energy Co.', 'Shape_Leng': 0.00326012899, 'Shape__Len': 547.17998504619}",15019
5f16543b4b8c2a92130714ef,Feature,"{'type': 'LineString', 'coordinates': [[-99.51854, 35.05089], [-99.51395, 35.05133]]}","{'TYPEPIPE': 'Interstate', 'Operator': 'Center Point Energy Gas Transmission Co.', 'Shape_Leng': 0.00460108683, 'Shape__Len': 513.341974446361}",23414
5f16543c4b8c2a921307393b,Feature,"{'type': 'LineString', 'coordinates': [[-99.45357, 28.07923], [-99.43254, 28.11894]]}","{'TYPEPIPE': 'Intrastate', 'Operator': 'Kinder Morgan Texas Pipeline Co.', 'Shape_Leng': 0.04493385717, 'Shape__Len': 5530.95088879398}",32712
5f16543a4b8c2a921306e1db,Feature,"{'type': 'LineString', 'coordinates': [[-73.78296, 41.81644], [-73.78384, 41.81435]]}","{'TYPEPIPE': 'Interstate', 'Operator': 'Iroquois Gas Transmission Co.', 'Shape_Leng': 0.00227585764, 'Shape__Len': 328.384343105504}",10330
5f16543b4b8c2a9213072a0c,Feature,"{'type': 'LineString', 'coordinates': [[-91.59962, 32.46065], [-91.54294, 32.58118]]}","{'TYPEPIPE': 'Interstate', 'Operator': 'ANR Pipeline Co.', 'Shape_Leng': 0.13319197911, 'Shape__Len': 17117.7827709197}",28828
5f1654394b8c2a921306bf51,Feature,"{'type': 'LineString', 'coordinates': [[-94.40877, 29.72583], [-94.39392, 29.71714]]}","{'TYPEPIPE': 'Intrastate', 'Operator': 'Texas Intrastate Pipeline Co.', 'Shape_Leng': 0.01720728767, 'Shape__Len': 1993.58054877456}",1505
5f16543c4b8c2a9213073b54,Feature,"{'type': 'LineString', 'coordinates': [[-94.8954, 32.16802], [-94.89103, 32.16308], [-94.89103, 32.15813], [-94.89099, 32.15794], [-94.88993, 32.15318], [-94.89002, 32.15228], [-94.89048, 32.15138]]}","{'TYPEPIPE': 'Intrastate', 'Operator': 'Enbridge Pipelines (East Texas)', 'Shape_Leng': 0.01853728943, 'Shape__Len': 2373.25988057679}",33248
5f16543b4b8c2a9213072e8c,Feature,"{'type': 'LineString', 'coordinates': [[-98.2176, 39.03526], [-98.2176, 39.13357]]}","{'TYPEPIPE': 'Interstate', 'Operator': 'Southern Star Central Gas PL Co.', 'Shape_Leng': 0.098304, 'Shape__Len': 14098.0439817589}",29979
