_id,type,properties,geometry
61e987ca2a70facd8cc9bb45,Feature,"{'FID': 47, 'Opername': 'ENTERPRISE PRODUCTS', 'Pipename': 'TEPPCO', 'Shape_Leng': 4.09029947983, 'Shape__Length': 535567.132907347}","{'type': 'MultiLineString', 'coordinates': [[[-88.302694935, 41.4134473290001], [-88.182692311, 41.414340737], [-87.9852, 41.4480999990001], [-87.767475, 41.4661100000001]], [[-85.850398419, 39.0227488670001], [-85.89412, 39.3605604900001], [-86.201117702, 39.66204672], [-86.324558564, 39.772200893], [-86.33465067, 39.854956642], [-86.9900622769999, 40.67231265], [-87.572358903, 41.338679555], [-87.767475, 41.4661100000001], [-87.791920432, 41.490103032], [-87.838811246, 41.6472375070001], [-87.810022905, 41.6589286810001], [-87.814842122, 41.770474209], [-87.833734278, 41.770867149], [-87.834623907, 41.764698111]]]}"
61e987ca2a70facd8cc9bb51,Feature,"{'FID': 61, 'Opername': 'ENTERPRISE PRODUCTS', 'Pipename': 'Texas Express NGL Pipeline', 'Shape_Leng': 8.93470737804, 'Shape__Length': 1083019.90506697}","{'type': 'LineString', 'coordinates': [[-101.135850304, 35.523454638], [-100.099405796, 34.1803319200001], [-98.2416665589999, 33.4663526740001], [-97.581992852, 33.0567793060001], [-97.379991928, 31.972739893], [-97.0205562849999, 31.332699317], [-96.695604862, 30.8671983200001], [-96.069734131, 30.485847592], [-94.909584361, 29.8271040180001]]}"
61e987ca2a70facd8cc9bb36,Feature,"{'FID': 20, 'Opername': 'DCP MIDSTREAM', 'Pipename': 'Wattenberg', 'Shape_Leng': 7.10982327013, 'Shape__Length': 805100.707742873}","{'type': 'LineString', 'coordinates': [[-97.7296338, 38.188537329], [-99.82703484, 38.8800676060001], [-104.6454984, 39.77770303]]}"
61e987ca2a70facd8cc9bb37,Feature,"{'FID': 2, 'Opername': 'ENTERPRISE PRODUCTS', 'Pipename': 'Seminole', 'Shape_Leng': 8.59183334548, 'Shape__Length': 978825.993483857}","{'type': 'LineString', 'coordinates': [[-102.90345444, 32.8014168570001], [-96.4192694399999, 30.040313801], [-94.88050272, 29.9102221150001]]}"
61e987ca2a70facd8cc9bb3d,Feature,"{'FID': 51, 'Opername': 'ONEOK', 'Pipename': 'Medford Hutchinson', 'Shape_Leng': 1.2767115631, 'Shape__Length': 177766.833247148}","{'type': 'LineString', 'coordinates': [[-97.7575231809999, 36.775592852], [-97.761575932, 37.002594236], [-97.976795345, 38.0299676440001]]}"
61e987ca2a70facd8cc9bb19,Feature,"{'FID': 12, 'Opername': 'ENTERPRISE PRODUCTS', 'Pipename': 'East Leg - Farmington', 'Shape_Leng': 2.04842863339, 'Shape__Length': 234661.716402644}","{'type': 'LineString', 'coordinates': [[-91.94651, 40.9077799990001], [-91.3585, 40.5819999990001], [-89.98684, 40.69372]]}"
61e987ca2a70facd8cc9bb43,Feature,"{'FID': 53, 'Opername': 'NUSTAR ENERGY', 'Pipename': 'LPG to Reynosa', 'Shape_Leng': 3.40489916738, 'Shape__Length': 411550.804908254}","{'type': 'LineString', 'coordinates': [[-97.3676143389999, 27.937067647], [-97.473514766, 27.814424902], [-97.713882488, 27.666951274], [-98.11448601, 27.421057284], [-98.1369, 26.372399999], [-98.399891243, 26.4166931770001], [-98.674262648, 25.2739521010001]]}"
61e987ca2a70facd8cc9bb1d,Feature,"{'FID': 19, 'Opername': 'NUSTAR ENERGY', 'Pipename': 'East System', 'Shape_Leng': 3.37257304444, 'Shape__Length': 387919.163584223}","{'type': 'LineString', 'coordinates': [[-97.59199176, 40.5565515710001], [-99.22749192, 40.593865194], [-99.79913988, 40.6636388960001], [-100.5041736, 40.755394236], [-100.67149368, 40.930144844], [-100.740285, 41.1262703680001]]}"
61e987ca2a70facd8cc9bb21,Feature,"{'FID': 3, 'Opername': 'ENTERPRISE PRODUCTS', 'Pipename': 'South Leg', 'Shape_Leng': 7.93290029661, 'Shape__Length': 987786.910616597}","{'type': 'LineString', 'coordinates': [[-102.90345444, 32.8014168570001], [-101.07599292, 35.83778127], [-101.00930832, 36.5599570680001], [-99.9085806, 37.1707129970001], [-97.7296338, 38.188537329]]}"
61e987ca2a70facd8cc9bb25,Feature,"{'FID': 24, 'Opername': 'CONOCO PHILLIPS', 'Pipename': 'Sand Hills', 'Shape_Leng': 11.4384959704, 'Shape__Length': 1330985.30146534}","{'type': 'LineString', 'coordinates': [[-104.13345816, 32.71418638], [-103.0495014, 32.6727344120001], [-102.63710484, 31.987263628], [-101.83917996, 31.8987106010001], [-101.73763152, 31.1978966400001], [-99.94827492, 30.6906587870001], [-97.3061578799999, 30.061155656], [-95.8824835199999, 29.813033358], [-95.72433588, 29.0518707360001], [-95.5423843199999, 29.031200417], [-95.5176173999999, 29.3512008920001], [-95.31216864, 29.3299763000001], [-95.1237039599999, 29.829310719]]}"
